s_label,top_blast_hit
S-11875,C. sp. 21
S-11774,C. sp. 21
S-11775,C. sp. 21
S-11777,C. sp. 21
S-11776,C. sp. 21
S-11841,C. sp. 21
S-11840,C. sp. 21
S-11832,C. sp. 21
S-11833,C. sp. 21
S-11851,C. sp. 21
S-11852,C. sp. 21
S-12227,C. plicata
S-12228,C. plicata
S-12229,Caenorhabditis sp. p LS-2018
S-12230,Caenorhabditis sp. p LS-2018
S-12231,Caenorhabditis sp. p LS-2018
S-12232,Caenorhabditis sp. p LS-2018
S-12130,Caenorhabditis sp. p LS-2018
S-12131,Caenorhabditis sp. p LS-2018
S-12138,C. plicata
S-12137,C. plicata
S-12136,C. plicata
S-12135,C. plicata
S-12002,C. plicata
S-12333,Caenorhabditis sp. p LS-2018
S-12334,Caenorhabditis sp. p LS-2018
S-12301,C. plicata
S-12254,C. plicata
S-12256,C. plicata
S-12258,C. plicata
S-11938,C. plicata